file,label,action,risk,latency_ms,spectral,stego,ultrasonic,wavlm,deepfake,waveform,rmt,asr_prefix,detail
clone_cartesia_01,synthetic,ALLOW,39,600,2,52,0,47,0,32,40,0,"Ensemble: spectral_anomaly=2, asr_prefix_attack=0, steganalysis=52, ultrasonic_injection=0, wavlm_paralinguistic=47, deepfake_detection=0, waveform_integrity=32, rmt_divergence=40 "
clone_cartesia_02,synthetic,ALLOW,39,623,3,30,0,81,0,4,40,1,"Ensemble: spectral_anomaly=3, asr_prefix_attack=1, steganalysis=30, ultrasonic_injection=0, replay_attack=41, wavlm_paralinguistic=81, deepfake_detection=0, waveform_integrity=4, r"
clone_cartesia_03,synthetic,BLOCK,95,605,2,20,0,70,0,3,95,0,"Ensemble: spectral_anomaly=2, asr_prefix_attack=0, steganalysis=20, ultrasonic_injection=0, wavlm_paralinguistic=70, deepfake_detection=0, waveform_integrity=3, rmt_divergence=95, "
real_01,real,WARN,65,835,2,30,0,73,0,4,95,0,"Ensemble: spectral_anomaly=2, asr_prefix_attack=0, steganalysis=30, ultrasonic_injection=0, wavlm_paralinguistic=73, deepfake_detection=0, waveform_integrity=4, rmt_divergence=95 →"
real_02,real,WARN,65,565,3,30,0,69,0,4,40,1,"Ensemble: spectral_anomaly=3, asr_prefix_attack=1, steganalysis=30, ultrasonic_injection=0, replay_attack=42, wavlm_paralinguistic=69, deepfake_detection=0, waveform_integrity=4, r"
real_03,real,WARN,65,727,3,30,0,82,0,32,40,0,"Ensemble: spectral_anomaly=3, asr_prefix_attack=0, steganalysis=30, ultrasonic_injection=0, replay_attack=41, wavlm_paralinguistic=82, deepfake_detection=0, waveform_integrity=32, "
real_04,real,BLOCK,91,254,3,30,0,69,0,0,0,0,"Ensemble: spectral_anomaly=3, asr_prefix_attack=0, steganalysis=30, ultrasonic_injection=0, replay_attack=44, wavlm_paralinguistic=69, deepfake_detection=0, text_pipeline=91 → 91 ("
real_05,real,WARN,65,571,4,18,0,83,0,4,0,1,"Ensemble: spectral_anomaly=4, asr_prefix_attack=1, steganalysis=18, ultrasonic_injection=0, replay_attack=20, wavlm_paralinguistic=83, deepfake_detection=0, waveform_integrity=4, t"
real_06,real,ALLOW,39,501,2,30,0,80,0,33,40,0,"Ensemble: spectral_anomaly=2, asr_prefix_attack=0, steganalysis=30, ultrasonic_injection=0, wavlm_paralinguistic=80, deepfake_detection=0, waveform_integrity=33, rmt_divergence=40 "
real_07,real,WARN,65,634,3,30,0,77,0,4,95,0,"Ensemble: spectral_anomaly=3, asr_prefix_attack=0, steganalysis=30, ultrasonic_injection=0, replay_attack=44, wavlm_paralinguistic=77, deepfake_detection=0, waveform_integrity=4, r"
real_08,real,ALLOW,39,10827,3,30,0,84,51,4,0,1,"Ensemble: spectral_anomaly=3, asr_prefix_attack=1, steganalysis=30, ultrasonic_injection=0, replay_attack=41, wavlm_paralinguistic=84, deepfake_detection=51, waveform_integrity=4 →"
